"id"	"area"
"BGR"	"BGR"	395.523193359375
"BGW"	"BGW"	553.73583984375
"BWB"	"BWB"	249.18115234375
"BWG"	"BWG"	205.67333984375
"BWY"	"BWY"	541.860107421875
"BYG"	"BYG"	47.462158203125
"GBG"	"GBG"	134.4775390625
"GBR"	"GBR"	494.3974609375
"GBW"	"GBW"	87.01513671875
"GRB"	"GRB"	71.193603515625
"GYB"	"GYB"	39.55224609375
"RBR"	"RBR"	15.821044921875
"RBY"	"RBY"	953.2138671875
"RGB"	"RGB"	75.149169921875
"RGW"	"RGW"	63.283935546875
"RYB"	"RYB"	7.910400390625
"RYW"	"RYW"	474.62939453125
"WBG"	"WBG"	296.642822265625
"WBY"	"WBY"	166.120361328125
"WGB"	"WGB"	446.9404296875
"WYB"	"WYB"	71.194580078125
"WYR"	"WYR"	980.8984375
"YBG"	"YBG"	71.1953125
"YGW"	"YGW"	332.238037109375
"YWY"	"YWY"	118.656494140625
