Lizard,Lat_UTM,Long_UTM
GBR,363571.0575,6244156.1
GBR,363601.8677,6244156.543
GBR,363609.6145,6244153.574
GBR,363632.7222,6244153.906
GBR,363614.7939,6244150.567
GBR,363622.5407,6244147.598
GBR,363632.8108,6244147.745
GBR,363630.2432,6244147.708
GBR,363632.8108,6244147.745
GBR,363617.4057,6244147.524
GBR,363635.3783,6244147.782
GBR,363620.0175,6244144.48
GBR,363622.7179,6244135.277
GBW,363734.1393,6244244.711
GBW,363725.9056,6244281.564
GBW,363738.7876,6244278.668
GBW,363720.859,6244275.329
GBW,363749.102,6244275.735
GBW,363751.6696,6244275.772
GBW,363720.9033,6244272.249
GBW,363726.0384,6244272.323
GBW,363751.7138,6244272.692
GBW,363703.019,6244265.83
GBW,363723.5593,6244266.125
GBW,363697.9282,6244262.676
GBW,363697.9282,6244262.676
GBW,363695.3606,6244262.639
GBW,363726.1711,6244263.082
GBW,363713.3334,6244262.897
GBW,363700.4957,6244262.713
GBW,363728.7829,6244260.039
GBW,363728.7829,6244260.039
GBW,363731.3505,6244260.075
GBW,363726.2154,6244260.002
GBW,363726.2154,6244260.002
GBW,363705.7193,6244256.626
GBW,363728.8272,6244256.958
GBW,363728.8272,6244256.958
GBW,363731.3948,6244256.995
GBW,363705.7636,6244253.546
GBW,363705.7636,6244253.546
GBW,363718.6013,6244253.73
GBW,363726.3482,6244250.761
GBW,363708.3754,6244250.502
GBW,363739.2744,6244244.785
GRB,363591.9943,6244307.367
GRB,363591.9943,6244307.367
GRB,363633.4295,6244283.315
GRB,363628.2944,6244283.242
GRB,363630.862,6244283.279
GRB,363582.1228,6244279.497
GRB,363589.8255,6244279.607
GRB,363600.2286,6244270.514
GRB,363574.8189,6244251.663
GRB,363592.7917,6244251.922
GRB,363577.4751,6244245.54
GRB,363580.0426,6244245.576
GRB,363598.0597,6244242.755
GRB,363590.4014,6244239.564
GRB,363600.6716,6244239.711
GRB,363592.9689,6244239.601
GRB,363574.9962,6244239.342
GRB,363582.7431,6244236.373
GRB,363598.1926,6244233.514
GRB,363605.8952,6244233.625
GRB,363575.0848,6244233.181
GYB,363750.1198,6244204.888
GYB,363767.3403,6244257.512
GYB,363739.5842,6244223.223
GYB,363731.9258,6244220.032
GYB,363724.2233,6244219.921
GYB,363737.0609,6244220.105
GYB,363737.1052,6244217.025
GYB,363726.835,6244216.877
GYB,363734.5376,6244216.988
GYB,363734.5376,6244216.988
GYB,363734.5376,6244216.988
GYB,363734.5376,6244216.988
GYB,363760.213,6244217.357
GYB,363785.8883,6244217.726
GYB,363734.5376,6244216.988
GYB,363716.6092,6244213.65
GYB,363719.1767,6244213.686
GYB,363721.7442,6244213.723
GYB,363734.5819,6244213.908
GYB,363780.7975,6244214.572
GYB,363737.1937,6244210.864
GYB,363742.3287,6244210.938
GYB,363737.1937,6244210.864
GYB,363739.7612,6244210.901
GYB,363785.9768,6244211.565
GYB,363765.4365,6244211.27
GYB,363783.4092,6244211.528
GYB,363780.8417,6244211.491
GYB,363742.373,6244207.858
GYB,363742.373,6244207.858
GYB,363762.9132,6244208.153
GYB,363744.9405,6244207.895
GYB,363744.9848,6244204.814
GYB,363742.4173,6244204.778
GYB,363752.7316,6244201.845
GYB,363763.0017,6244201.992
RBR,363931.8885,6244423.163
RBR,363924.2299,6244419.972
RBR,363932.1978,6244401.601
RBR,363937.6423,6244380.113
RBR,363935.1189,6244376.995
RBR,363937.6865,6244377.032
RBR,363935.1631,6244373.915
RBR,363937.7306,6244373.952
RBR,363940.3424,6244370.909
RBR,363942.91,6244370.945
RBR,363935.2073,6244370.835
