Lizard;Lat_UTM;Long_UTM
GYB;363716,6092;6244213,65
GYB;363719,1767;6244213,686
GYB;363721,7442;6244213,723
GYB;363737,1937;6244210,864
GYB;363742,3287;6244210,938
GYB;363737,1937;6244210,864
GYB;363742,373;6244207,858
GYB;363742,373;6244207,858
GYB;363744,9848;6244204,814
GYB;363742,4173;6244204,778
GYB;363752,7316;6244201,845
GYB;363763,0017;6244201,992
RBR;363937,6423;6244380,113
RBR;363935,1189;6244376,995
RBR;363937,6865;6244377,032
RBR;363935,1631;6244373,915
RBR;363937,7306;6244373,952
RBR;363940,3424;6244370,909
RBR;363942,91;6244370,945
RBR;363935,2073;6244370,835
RBR;363940,3424;6244370,909
RBR;363940,6517;6244349,346
RBR;363943,2193;6244349,383
RBY;363955,8804;6244361,889
RBY;363909,7083;6244358,145
RBY;363884,1653;6244348,536
RBY;363853,3987;6244345,013
RBY;363917,6762;6244339,774
RBY;363951,0987;6244337,173
RBY;363943,4844;6244330,901
RBY;363881,863;6244330,017
RBY;363894,7008;6244330,202
RBY;363951,2313;6244327,932
RBY;363889,6098;6244327,048
RBY;363887,0423;6244327,011
RBY;363956,8524;6244294,122
RGB;363630,8177;6244286,359
RGB;363675,1302;6244240,782
RGB;363669,9951;6244240,708
RGB;363690,5354;6244241,003
RGB;363675,1745;6244237,702
RGB;363688,0122;6244237,886
RGB;363672,6069;6244237,665
RGB;363690,5797;6244237,923
RGB;363677,742;6244237,738
RGB;363677,7863;6244234,658
RGB;363685,4889;6244234,769
RGB;363701,0269;6244225,749
RGB;363701,0712;6244222,669
RGB;363701,0712;6244222,669
RGB;363639,4947;6244218,703
RGB;363701,1155;6244219,589
RGB;363636,9714;6244215,586
RGB;363708,8623;6244216,619
RGW;363814,1333;6244396,826
RGW;363814,1333;6244396,826
RGW;363821,8803;6244393,856
RGW;363821,9245;6244390,776
RGW;363819,3569;6244390,739
RGW;363829,6715;6244387,806
RGW;363829,6715;6244387,806
RGW;363829,7157;6244384,726
RGW;363827,1481;6244384,689
RGW;363832,2833;6244384,762
RGW;363832,2833;6244384,762
RGW;363804,0842;6244381,277
RGW;363824,6248;6244381,572
RGW;363827,1923;6244381,608
RGW;363804,0842;6244381,277
