Lizard_ID	OTM	Temp	Sun	Wind	Orientation
RBY	165	rock	partly sun	not	N
RBY	166	rock	shade	not	N
RBY	167	soil	partly sun	not	N
RBY	168	soil	shade	not	N
RBY	169	soil	full sun	not	N
RBY	170	rock	full sun	exposed	S
RBY	171	rock	partly sun	not	S
RBY	172	soil	full sun	not	S
RBY	173	rock	full sun	exposed	E
RBY	174	rock	partly sun	not	E
RBY	175	soil	full sun	not	E
RBY	176	rock	full sun	exposed	W
RBY	177	rock	partly sun	not	W
RBY	178	soil	full sun	not	W
RBY	179	rock	crevice	not	
RBY	180	rock	crevice	not	
RGB	181	rock	full sun	exposed	N
RGB	182	rock	full sun	exposed	N
RGB	183	rock	partly sun	not	N
RGB	184	rock	shade	not	N
RGB	185	soil	partly sun	not	N
RGB	186	soil	shade	not	N
RGB	187	soil	full sun	not	N
RGB	188	rock	full sun	exposed	S
RGB	189	rock	partly sun	not	S
RGB	190	soil	full sun	not	S
RGB	191	rock	full sun	exposed	E
RGB	192	rock	partly sun	not	E
RGB	193	soil	full sun	not	E
RGB	194	rock	full sun	exposed	W
RGB	195	rock	partly sun	not	W
RGB	196	soil	full sun	not	W
RGB	197	rock	crevice	not	
RGB	198	rock	crevice	not	
WBG	199	rock	full sun	exposed	N
WBG	200	rock	full sun	exposed	N
WBG	201	rock	partly sun	not	N
WBG	202	rock	shade	not	N
WBG	203	soil	partly sun	not	N
WBG	204	soil	shade	not	N
WBG	205	soil	full sun	not	N
WBG	206	rock	full sun	exposed	S
WBG	207	rock	partly sun	not	S
WBG	208	soil	full sun	not	S
WBG	209	rock	full sun	exposed	E
WBG	210	rock	partly sun	not	E
WBG	211	soil	full sun	not	E
WBG	212	rock	full sun	exposed	W
WBG	213	rock	partly sun	not	W
WBG	214	soil	full sun	not	W
WBG	215	rock	crevice	not	
WBG	216	rock	crevice	not	
WGB	217	rock	full sun	exposed	N
WGB	218	rock	full sun	exposed	N
WGB	219	rock	partly sun	not	N
WGB	220	rock	shade	not	N
WGB	221	soil	partly sun	not	N
WGB	222	soil	shade	not	N
WGB	223	soil	full sun	not	N
WGB	224	rock	full sun	exposed	S
WGB	225	rock	partly sun	not	S
WGB	226	soil	full sun	not	S
WGB	227	rock	full sun	exposed	E
WGB	228	rock	partly sun	not	E
WGB	229	soil	full sun	not	E
WGB	230	rock	full sun	exposed	W
WGB	231	rock	partly sun	not	W
WGB	232	soil	full sun	not	W
WGB	233	rock	crevice	not	
WGB	234	rock	crevice	not	
WYR	235	rock	full sun	exposed	N
WYR	236	rock	full sun	exposed	N
WYR	237	rock	partly sun	not	N
WYR	238	rock	shade	not	N
