"id"	"area"
"BDbB"	"BDbB"	340.14892578125
"BGR"	"BGR"	158.209716796875
"BGW"	"BGW"	624.92919921875
"BWG"	"BWG"	320.375732421875
"GBG"	"GBG"	19.7763671875
"GBR"	"GBR"	522.08447265625
"GBW"	"GBW"	276.865478515625
"GRB"	"GRB"	363.880126953125
"GYB"	"GYB"	249.17724609375
"RBR"	"RBR"	31.641845703125
"RBY"	"RBY"	225.448974609375
"RGB"	"RGB"	138.432861328125
"RWY"	"RWY"	316.4169921875
"RYB"	"RYB"	636.792236328125
"RYW"	"RYW"	67.239501953125
"WBG"	"WBG"	150.298828125
"WGB"	"WGB"	138.432373046875
"WYR"	"WYR"	316.419189453125
"WYW"	"WYW"	387.61328125
"YBW"	"YBW"	411.341064453125
"YDbW"	"YDbW"	106.791259765625
"YDbY"	"YDbY"	328.28076171875
"YGB"	"YGB"	363.884521484375
"YGW"	"YGW"	87.015380859375
"YWB"	"YWB"	174.03271484375
"YWY"	"YWY"	197.760498046875
